id,name,age,email
1,Alice,25,alice@example.com
2,Bob,invalid_age,bob@example.com
3,,30,charlie@gmail.com
4,David,-5,david@domain
5,Eve,22,eve@example.com
6,Frank,thirty,frank@test.com
7,Grace,28,grace_at_company.com
8,Heidi,0,heidi@domain.co
9,Ivan,105,ivan@site.org
10,,19,missing_name@example.com
11,Judy,33,judy@gmail
12,Kevin,29,kevin@domain.com
13,Laura,-12,laura@test.org
14,Mallory,abc,mallory@badage.com
15,Niaj,45,niaj.without.at.com
16,Oscar,18,oscar@company.net
17,Peggy,27,
18,Quentin,31,quentin@valid-site.io
19,Rosa,twenty_five,rosa@domain.com
20,Sam,40,sam@domain.com
